epoch,train_size,eval_size,unlabel_size,test_size,eval_buzzni,eval_acc_at_1,eval_acc_at_k,eval_f1,eval_precision,eval_recall,test_buzzni,test_acc_at_1,test_acc_at_k,test_f1,test_precision,test_recall,latency,total_latency
-1,400,100,3373,375,0.6671105193075899,0.56,0.9,0.5222301587301587,0.5579999999999999,0.56,0.6257088846880907,0.5733333333333334,0.9066666666666666,0.5338455560112203,0.566188689088689,0.5733333333333334,0,0
0,3594,100,2373,375,0.7714285714285715,0.64,1.0,0.6170714285714286,0.672,0.64,0.78554665371854,0.6773333333333333,0.968,0.6765610395666661,0.7544603885003884,0.6773333333333333,2101,2101
1,3773,100,2117,375,0.9397590361445783,0.86,1.0,0.8521904761904762,0.8891666666666665,0.86,0.8911106711542269,0.8,0.9866666666666667,0.7781280126334765,0.7898762496762496,0.8,424,2525
2,3773,100,2096,375,0.9887640449438202,0.92,1.0,0.91,0.905,0.92,0.881619937694704,0.816,0.9946666666666667,0.7946903426076757,0.7918079550079551,0.816,29,2554
3,3773,100,2074,375,0.9555555555555556,0.91,1.0,0.8993333333333333,0.8973333333333332,0.91,0.8440557729941291,0.792,0.9893333333333333,0.7758657619497533,0.8010206349206348,0.792,44,2598
4,3773,100,2032,375,0.8804347826086957,0.84,0.99,0.8315021645021643,0.8738333333333332,0.84,0.8024188719913783,0.7333333333333333,0.9893333333333333,0.7172022834283219,0.7467558922558922,0.7333333333333333,65,2663
